assembly_accession,protein_id,query,query_id,label
GCA_000010525.1,BAF89442.1,NifQ,PF04891.12,NifQ-protein
GCA_000010525.1,BAF89410.1,NifT,PF06988.11,FixU-protein
GCA_000010525.1,BAF90701.1,NifU,PF01106.17,nitrogen-fixing-protein
GCA_000010525.1,BAF89408.1,NifU,PF01106.17,putative-NifU-protein
GCA_000010525.1,BAF86941.1,NifU_N,PF01592.16,NifU-like-protein
GCA_000010525.1,BAF89444.1,NifW,PF03206.14,nitrogenase-stabilizing/protective-protein
GCA_000010525.1,BAF89417.1,NifZ,PF04319.13,iron-sulfur-cofactor-synthesis-protein
GCA_000010525.1,BAF89418.1,NifZ,PF04319.13,NifZ-protein
GCA_000010525.1,BAF89689.1,NIL,PF09383.10,ABC-transporter-ATP-binding-protein
GCA_000010525.1,BAF86923.1,NIR_SIR,PF01077.22,nitrite/sulfite-reductase
GCA_000010525.1,BAF86679.1,NIR_SIR,PF01077.22,nitrite-and-sulfite-reductase
GCA_000010525.1,BAF86679.1,NIR_SIR_ferr,PF03460.17,nitrite-and-sulfite-reductase
GCA_000010525.1,BAF86923.1,NIR_SIR_ferr,PF03460.17,nitrite/sulfite-reductase
GCA_000010525.1,BAF89934.1,NIR_SIR_ferr,PF03460.17,cobalamin-synthesis-protein
GCA_000010525.1,BAF87425.1,Nitrate_red_del,PF02613.15,nitrate-reductase-delta-subunit-protein
GCA_000010525.1,BAF87426.1,Nitrate_red_gam,PF02665.14,nitrate-reductase-gamma-subunit-protein
GCA_000010525.1,BAF86948.1,Nitroreductase,PF00881.24,putative-nitroreductase
GCA_000010525.1,BAF90659.1,Nitroreductase,PF00881.24,nitroreductase
GCA_000010525.1,BAF89174.1,Nitroreductase,PF00881.24,nitroreductase
GCA_000010525.1,BAF90044.1,Nitroreductase,PF00881.24,conserved-hypothetical-protein
GCA_000010525.1,BAF90684.1,Nitroreductase,PF00881.24,putative-NADH-dehydrogenase
GCA_000010525.1,BAF89438.1,Nitroreductase,PF00881.24,hypothetical-protein-AZC_3440
GCA_000010525.1,BAF89412.1,Nitro_FeMo-Co,PF02579.17,nitrogenase-cofactor-biosynthesis-protein
GCA_000010525.1,BAF87034.1,Nitro_FeMo-Co,PF02579.17,nitrogenase-molybdenum-iron-NifX-protein
GCA_000010525.1,BAF87423.1,Nitr_red_alph_N,PF14710.6,nitrate-reductase-alpha-subunit-protein
GCA_000010525.1,BAF87424.1,Nitr_red_bet_C,PF14711.6,nitrate-reductase-beta-subunit-protein
GCA_000010525.1,BAF86598.1,Ni_hydr_CYTB,PF01292.20,HupC-protein
GCA_000010525.1,BAF90049.1,Ni_hydr_CYTB,PF01292.20,cytochrome-B561
GCA_000010525.1,BAF87155.1,Ni_hydr_CYTB,PF01292.20,formate-dehydrogenase-gamma-subunit
GCA_000010525.1,BAF90168.1,Ni_hydr_CYTB,PF01292.20,putative-cytochrome-b561
GCA_000010525.1,BAF87820.1,Ni_hydr_CYTB,PF01292.20,putative-hydrogenase-cytochrome-b-type-subunit-protein
GCA_000010525.1,BAF90056.1,Ni_hydr_CYTB,PF01292.20,cytochrome-b561
GCA_000010525.1,BAF86389.1,NKWYS,PF10364.9,putative-glycosyltransferase
GCA_000010525.1,BAF86277.1,NLPC_P60,PF00877.19,cell-wall-associated-hydrolase
GCA_000010525.1,BAF87124.1,NLPC_P60,PF00877.19,putative-phage-cell-wall-peptidase
GCA_000010525.1,BAF88086.1,NMO,PF03060.15,putative-dioxygenase
GCA_000010525.1,BAF86929.1,NMO,PF03060.15,putative-2-nitropropane-dioxygenase
GCA_000010525.1,BAF88865.1,NMO,PF03060.15,2-nitropropane-dioxygenase
GCA_000010525.1,BAF90331.1,NMO,PF03060.15,Inosine-5'-monophosphate-dehydrogenase
GCA_000010525.1,BAF87498.1,NMO,PF03060.15,glutamate-synthase-family-protein
GCA_000010525.1,BAF90497.1,NMO,PF03060.15,phosphoribosylformimino-5-aminoimidazole-carboxamide-ribotide-isomerase
GCA_000010525.1,BAF88265.1,NMO,PF03060.15,L-lactate-dehydrogenase
GCA_000010525.1,BAF86179.1,NmrA,PF05368.13,putative-isoflavone-reductase
GCA_000010525.1,BAF86420.1,NmrA,PF05368.13,conserved-hypothetical-protein
GCA_000010525.1,BAF87014.1,NmrA,PF05368.13,NAD-dependent-epimerase
GCA_000010525.1,BAF89007.1,NmrA,PF05368.13,putative-NAD-dependent-epimerase
