id,query,description,log_probability,log_probability_random,n_elements,evidence,evidence_strength
PF02719,Polysacc_synt_2,Polysaccharide biosynthesis protein,-4.14148677,-4.91638980,10,0.33653611,Weak
PF00529,HlyD,HlyD membrane-fusion protein of T1SS,-4.14868997,-4.91638980,10,0.33340780,Weak
PF07726,AAA_3,ATPase family associated with various cellular activities (AAA),-2.19820305,-2.94983388,6,0.32642912,Weak
PF14520,HHH_5,Helix-hairpin-helix domain,-3.18206891,-3.93311184,8,0.32617380,Weak
PF05496,RuvB_N,Holliday junction DNA helicase RuvB P-loop domain,-2.69112905,-3.44147286,7,0.32587017,Weak
PF01406,tRNA-synt_1e,tRNA synthetases class I (C) catalytic domain,-1.22236507,-1.96655592,4,0.32319798,Weak
PF00205,TPP_enzyme_M,Thiamine pyrophosphate enzyme; central domain,-2.20801905,-2.94983388,6,0.32216609,Weak
PF02776,TPP_enzyme_N,Thiamine pyrophosphate enzyme; N-terminal TPP binding domain,-2.20801905,-2.94983388,6,0.32216609,Weak
PF13185,GAF_2,GAF domain,-1.22762135,-1.96655592,4,0.32091521,Weak
PF13458,Peripla_BP_6,Periplasmic binding protein,-10.57267299,-11.30769654,23,0.31921667,Weak
PF13434,K_oxygenase,L-lysine 6-monooxygenase (NADPH-requiring),-2.70726785,-3.44147286,7,0.31886118,Weak
PF00043,GST_C,Glutathione S-transferase; C-terminal domain,-9.10229463,-9.83277960,20,0.31724559,Weak
PF00912,Transgly,Transglycosylase,-1.24326357,-1.96655592,4,0.31412188,Weak
PF13439,Glyco_transf_4,Glycosyltransferase Family 4,-4.20247004,-4.91638980,10,0.31005141,Weak
PF02779,Transket_pyr,Transketolase; pyrimidine binding domain,-1.74511087,-2.45819490,5,0.30968846,Weak
PF01926,MMR_HSR1,50S ribosome-binding GTPase,-8.13927207,-8.84950164,18,0.30844878,Weak
PF01315,Ald_Xan_dh_C,Aldehyde oxidase and xanthine dehydrogenase; a/b hammerhead domain,-1.26186926,-1.96655592,4,0.30604153,Weak
PF08666,SAF,SAF domain,-1.26421041,-1.96655592,4,0.30502478,Weak
PF13410,GST_C_2,Glutathione S-transferase; C-terminal domain,-7.16620136,-7.86622368,16,0.30401583,Weak
PF04851,ResIII,Type III restriction enzyme; res subunit,-2.74254422,-3.44147286,7,0.30354085,Weak
PF01094,ANF_receptor,Receptor family ligand binding region,-6.67724906,-7.37458470,15,0.30284902,Weak
PF00108,Thiolase_N,Thiolase; N-terminal domain,-3.24112372,-3.93311184,8,0.30052662,Weak
PF00270,DEAD,DEAD/DEAH box helicase,-3.73961688,-4.42475082,9,0.29754989,Weak
PF02655,ATP-grasp_3,ATP-grasp domain,-1.77485632,-2.45819490,5,0.29677017,Weak
PF02737,3HCDH_N,3-hydroxyacyl-CoA dehydrogenase; NAD binding domain,-2.26787791,-2.94983388,6,0.29616971,Weak
PF01636,APH,Phosphotransferase enzyme family,-1.29002154,-1.96655592,4,0.29381515,Weak
PF12710,HAD,haloacid dehalogenase-like hydrolase,-5.22431010,-5.89966776,12,0.29330410,Weak
PF07478,Dala_Dala_lig_C,D-ala D-ala ligase C-terminus,-1.78727420,-2.45819490,5,0.29137716,Weak
PF00109,ketoacyl-synt,Beta-ketoacyl synthase; N-terminal domain,-3.26353641,-3.93311184,8,0.29079291,Weak
PF02780,Transketolase_C,Transketolase; C-terminal domain,-1.29783787,-1.96655592,4,0.29042056,Weak
PF02463,SMC_N,RecF/RecN/SMC N terminal domain,-5.23824131,-5.89966776,12,0.28725386,Weak
PF12974,Phosphonate-bd,ABC transporter; phosphonate; periplasmic substrate-binding protein,-5.23854511,-5.89966776,12,0.28712192,Weak
PF01565,FAD_binding_4,FAD binding domain,-3.77452135,-4.42475082,9,0.28239107,Weak
PF13579,Glyco_trans_4_4,Glycosyl transferase 4-like domain,-2.79238029,-3.44147286,7,0.28189732,Weak
PF01695,IstB_IS21,IstB-like ATP binding protein,-4.26766599,-4.91638980,10,0.28173717,Weak
PF01593,Amino_oxidase,Flavin containing amine oxidoreductase,-3.77653875,-4.42475082,9,0.28151493,Weak
PF08282,Hydrolase_3,haloacid dehalogenase-like hydrolase,-4.27226926,-4.91638980,10,0.27973799,Weak
PF03129,HGTP_anticodon,Anticodon binding domain,-2.31191659,-2.94983388,6,0.27704396,Weak
PF12826,HHH_2,Helix-hairpin-helix motif,-1.34066025,-1.96655592,4,0.27182303,Weak
PF00117,GATase,Glutamine amidotransferase class-I,-3.31087211,-3.93311184,8,0.27023528,Weak
PF12399,BCA_ABC_TP_C,Branched-chain amino acid ATP-binding cassette transporter,-7.73757580,-8.35786266,17,0.26938716,Weak
PF01418,HTH_6,Helix-turn-helix domain; rpiR family,-2.32984685,-2.94983388,6,0.26925695,Weak
PF08264,Anticodon_1,Anticodon-binding domain of tRNA ligase,-0.86016895,-1.47491694,3,0.26698166,Weak
PF00106,adh_short,short chain dehydrogenase,-25.44687576,-26.05686594,53,0.26491537,Weak
PF00211,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,-0.37432663,-0.98327796,2,0.26446420,Weak
PF01965,DJ-1_PfpI,DJ-1/PfpI family,-4.80475508,-5.40802878,11,0.26199844,Weak
PF13292,DXP_synthase_N,1-deoxy-D-xylulose-5-phosphate synthase,-1.36758319,-1.96655592,4,0.26013055,Weak
PF00857,Isochorismatase,Isochorismatase family,-9.23426129,-9.83277960,20,0.25993320,Weak
PF10431,ClpB_D2-small,C-terminal; D2-small domain; of ClpB protein,-1.86362361,-2.45819490,5,0.25821903,Weak
PF13011,LZ_Tnp_IS481,leucine-zipper of insertion element IS481,-1.86864989,-2.45819490,5,0.25603614,Weak
PF04295,GD_AH_C,D-galactarate dehydratase / Altronate hydrolase; C terminus,-0.89804384,-1.47491694,3,0.25053280,Weak
PF00456,Transketolase_N,Transketolase; thiamine diphosphate binding domain,-0.90188658,-1.47491694,3,0.24886392,Weak
PF13442,Cytochrome_CBB3,Cytochrome C oxidase; cbb3-type; subunit III,-3.36440493,-3.93311184,8,0.24698627,Weak
PF02310,B12-binding,B12 binding domain,-0.90674840,-1.47491694,3,0.24675246,Weak
PF01209,Ubie_methyltran,ubiE/COQ5 methyltransferase family,-5.82343244,-6.39130674,13,0.24662468,Weak
PF07722,Peptidase_C26,Peptidase C26,-2.38420678,-2.94983388,6,0.24564873,Weak
PF02515,CoA_transf_3,CoA-transferase family III,-3.86692054,-4.42475082,9,0.24226261,Weak
PF13433,Peripla_BP_5,Periplasmic binding protein domain,-9.27540156,-9.83277960,20,0.24206621,Weak
PF06761,IcmF-related,Intracellular multiplication and human macrophage-killing,-0.42634784,-0.98327796,2,0.24187168,Weak
PF14331,IcmF-related_N,IcmF-related N-terminal domain,-0.42634784,-0.98327796,2,0.24187168,Weak
PF06744,IcmF_C,Type VI secretion protein IcmF C2-like domain,-0.42634784,-0.98327796,2,0.24187168,Weak
PF00497,SBP_bac_3,Bacterial extracellular solute-binding proteins; family 3,-12.71760055,-13.27425246,27,0.24175085,Weak
PF00206,Lyase_1,Lyase,-2.88905942,-3.44147286,7,0.23991011,Weak
PF13522,GATase_6,Glutamine amidotransferase domain,-1.90988145,-2.45819490,5,0.23812951,Weak
PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,-10.26849446,-10.81605756,22,0.23780363,Weak
PF04389,Peptidase_M28,Peptidase family M28,-1.91148876,-2.45819490,5,0.23743146,Weak
PF16177,ACAS_N,Acetyl-coenzyme A synthetase N-terminus,-0.92978237,-1.47491694,3,0.23674894,Weak
PF01757,Acyl_transf_3,Acyltransferase family,-1.91938885,-2.45819490,5,0.23400049,Weak
PF01471,PG_binding_1,Putative peptidoglycan binding domain,-3.39523829,-3.93311184,8,0.23359552,Weak
PF00364,Biotin_lipoyl,Biotin-requiring enzyme,-5.36319294,-5.89966776,12,0.23298805,Weak
PF02785,Biotin_carb_C,Biotin carboxylase C-terminal domain,-1.43173429,-1.96655592,4,0.23227008,Weak
PF00289,Biotin_carb_N,Biotin carboxylase; N-terminal domain,-1.43173429,-1.96655592,4,0.23227008,Weak
PF01842,ACT,ACT domain,-3.40503252,-3.93311184,8,0.22934194,Weak
PF02803,Thiolase_C,Thiolase; C-terminal domain,-2.42197634,-2.94983388,6,0.22924562,Weak
PF02922,CBM_48,Carbohydrate-binding module 48 (Isoamylase N-terminal domain),-0.95475629,-1.47491694,3,0.22590290,Weak
PF13492,GAF_3,GAF domain,-0.95551287,-1.47491694,3,0.22557432,Weak
PF17871,AAA_lid_9,AAA lid domain,-0.97823836,-1.47491694,3,0.21570477,Weak
PF13589,HATPase_c_3,Histidine kinase-; DNA gyrase B-; and HSP90-like ATPase,-1.47008887,-1.96655592,4,0.21561290,Weak
PF01380,SIS,SIS domain,-2.45487654,-2.94983388,6,0.21495724,Weak
PF13520,AA_permease_2,Amino acid permease,-1.47471838,-1.96655592,4,0.21360233,Weak
PF02222,ATP-grasp,ATP-grasp domain,-1.47581516,-1.96655592,4,0.21312600,Weak
PF00725,3HCDH,3-hydroxyacyl-CoA dehydrogenase; C-terminal domain,-1.97107376,-2.45819490,5,0.21155402,Weak
PF00534,Glycos_transf_1,Glycosyl transferases group 1,-8.85462695,-9.34114062,19,0.21129020,Weak
PF07714,PK_Tyr_Ser-Thr,Protein tyrosine and serine/threonine kinase,-0.99226349,-1.47491694,3,0.20961373,Weak
PF00069,Pkinase,Protein kinase domain,-0.99226349,-1.47491694,3,0.20961373,Weak
PF00067,p450,Cytochrome P450,-0.50106845,-0.98327796,2,0.20942093,Weak
PF00356,LacI,Bacterial regulatory proteins; lacI family,-2.96670484,-3.44147286,7,0.20618913,Weak
PF17757,UvrB_inter,UvrB interaction domain,-0.50854300,-0.98327796,2,0.20617477,Weak
PF13416,SBP_bac_8,Bacterial extracellular solute-binding protein,-6.90175210,-7.37458470,15,0.20534859,Weak
PF00459,Inositol_P,Inositol monophosphatase family,-3.46226663,-3.93311184,8,0.20448547,Weak
PF13565,HTH_32,Homeodomain-like domain,-1.49825358,-1.96655592,4,0.20338112,Weak
PF03929,PepSY_TM,PepSY-associated TM region,-1.50462527,-1.96655592,4,0.20061393,Weak
PF01039,Carboxyl_trans,Carboxyl transferase domain,-1.50708388,-1.96655592,4,0.19954617,Weak
PF13245,AAA_19,AAA domain,-1.50811065,-1.96655592,4,0.19910025,Weak
PF01276,OKR_DC_1,Orn/Lys/Arg decarboxylase; major domain,-0.52498202,-0.98327796,2,0.19903540,Weak
PF03709,OKR_DC_1_N,Orn/Lys/Arg decarboxylase; N-terminal domain,-0.52498202,-0.98327796,2,0.19903540,Weak
PF03711,OKR_DC_1_C,Orn/Lys/Arg decarboxylase; C-terminal domain,-0.52498202,-0.98327796,2,0.19903540,Weak
PF03721,UDPG_MGDP_dh_N,UDP-glucose/GDP-mannose dehydrogenase family; NAD binding domain,-1.01702700,-1.47491694,3,0.19885907,Weak
PF01645,Glu_synthase,Conserved region in glutamate synthase,-2.49883399,-2.94983388,6,0.19586676,Weak
PF17657,DNA_pol3_finger,Bacterial DNA polymerase III alpha subunit finger domain,-0.53534445,-0.98327796,2,0.19453505,Weak
PF02811,PHP,PHP domain,-0.53534445,-0.98327796,2,0.19453505,Weak
PF07733,DNA_pol3_alpha,Bacterial DNA polymerase III alpha NTPase domain,-0.53534445,-0.98327796,2,0.19453505,Weak
PF17806,SO_alpha_A3,Sarcosine oxidase A3 domain,-2.01265962,-2.45819490,5,0.19349351,Weak
PF00860,Xan_ur_permease,Permease family,-1.52236232,-1.96655592,4,0.19291083,Weak
PF00724,Oxidored_FMN,NADH:flavin oxidoreductase / NADH oxidase family,-1.52805827,-1.96655592,4,0.19043711,Weak
PF00122,E1-E2_ATPase,E1-E2 ATPase,-3.98808873,-4.42475082,9,0.18963994,Weak
PF02690,Na_Pi_cotrans,Na+/Pi-cotransporter,-1.03896774,-1.47491694,3,0.18933033,Weak
PF02801,Ketoacyl-synt_C,Beta-ketoacyl synthase; C-terminal domain,-1.53082608,-1.96655592,4,0.18923506,Weak
PF02875,Mur_ligase_C,Mur ligase family; glutamate ligase domain,-1.53285460,-1.96655592,4,0.18835409,Weak
PF07859,Abhydrolase_3,alpha/beta hydrolase fold,-3.99179129,-4.42475082,9,0.18803194,Weak
PF11798,IMS_HHH,IMS family HHH motif,-0.55412869,-0.98327796,2,0.18637716,Weak
PF11799,IMS_C,impB/mucB/samB family C-terminal domain,-0.55412869,-0.98327796,2,0.18637716,Weak
PF00817,IMS,impB/mucB/samB family,-0.55412869,-0.98327796,2,0.18637716,Weak
PF03096,Ndr,Ndr family,-1.53764994,-1.96655592,4,0.18627150,Weak
PF13604,AAA_30,AAA domain,-2.03162912,-2.45819490,5,0.18525516,Weak
PF13537,GATase_7,Glutamine amidotransferase domain,-1.54019774,-1.96655592,4,0.18516500,Weak
PF10531,SLBB,SLBB domain,-2.03253754,-2.45819490,5,0.18486064,Weak
PF12848,ABC_tran_Xtn,ABC transporter,-1.04931809,-1.47491694,3,0.18483523,Weak
PF01751,Toprim,Toprim domain,-1.05012265,-1.47491694,3,0.18448582,Weak
PF06609,TRI12,Fungal trichothecene efflux pump (TRI12),-3.02364730,-3.44147286,7,0.18145934,Weak
PF00465,Fe-ADH,Iron-containing alcohol dehydrogenase,-2.04084838,-2.45819490,5,0.18125129,Weak
PF13685,Fe-ADH_2,Iron-containing alcohol dehydrogenase,-2.04084838,-2.45819490,5,0.18125129,Weak
PF12860,PAS_7,PAS fold,-1.55028847,-1.96655592,4,0.18078266,Weak
PF13603,tRNA-synt_1_2,Leucyl-tRNA synthetase; Domain 2,-0.56714635,-0.98327796,2,0.18072366,Weak
